Episode,Reward_MA,Loss_MA,Q_Value_MA,Epsilon
1,nan,nan,nan,1.0
2,nan,nan,nan,0.995
3,nan,nan,nan,0.990025
4,nan,nan,nan,0.985074875
5,nan,nan,nan,0.9801495006250001
6,nan,nan,nan,0.9752487531218751
7,nan,nan,nan,0.9703725093562657
8,nan,nan,nan,0.9655206468094844
9,nan,nan,nan,0.960693043575437
10,nan,nan,nan,0.9558895783575597
11,nan,nan,nan,0.9511101304657719
12,nan,nan,nan,0.946354579813443
13,nan,nan,nan,0.9416228069143757
14,nan,nan,nan,0.9369146928798039
15,nan,nan,nan,0.9322301194154049
16,nan,nan,nan,0.9275689688183278
17,nan,nan,nan,0.9229311239742362
18,nan,nan,nan,0.918316468354365
19,nan,nan,nan,0.9137248860125932
20,-192.49502472849346,1.3458997323291109,0.4342207370607357,0.9091562615825302
21,-187.65798171193188,1.3738128215001628,0.5985687064176965,0.9046104802746175
22,-171.35683367358095,1.3743299360489178,0.6477433856719851,0.9000874278732445
23,-163.53715523288642,1.3958714740968445,0.7488642702659439,0.8955869907338783
24,-162.30550837512854,1.405595840862566,0.8087056552021834,0.8911090557802088
25,-155.17123997974832,1.4266536028418597,0.9484500665696926,0.8866535105013078
26,-144.93662705261028,1.4325571086048456,1.1673077841202717,0.8822202429488013
27,-138.27669275109045,1.446364727541798,1.2856413551575394,0.8778091417340573
28,-136.67222162367068,1.4667163948044404,1.452967562099791,0.8734200960253871
29,-137.92998830240873,1.4871596436490515,1.481487482534972,0.8690529955452602
30,-133.47895836144778,1.4903593696876751,1.6992967741190974,0.8647077305675338
31,-131.79055423630857,1.492539754580697,1.7547202733755012,0.8603841919146962
32,-127.82251871982969,1.4913303102125457,1.9195581767642222,0.8560822709551227
33,-122.0704287401669,1.4929350168715274,2.089477366211759,0.851801859600347
34,-122.81684065745253,1.5052453777138068,2.1015628479238355,0.8475428503023453
35,-115.7612152234891,1.5129973301727395,2.3598259751041035,0.8433051360508336
36,-115.05645597104407,1.5154877448393722,2.2430701619243334,0.8390886103705794
37,-115.14384546099352,1.51523631643487,2.260048713463956,0.8348931673187264
38,-115.76664263647714,1.5080053285378772,2.3345490778632474,0.8307187014821328
39,-116.15203793268877,1.5057795763782,2.4917515269244306,0.8265651079747222
40,-115.11731101459489,1.519805707246125,2.4921006417132157,0.8224322824348486
41,-116.54254466375731,1.5281847627425715,2.6300121230822984,0.8183201210226743
42,-118.41422330803731,1.5320471081268299,2.466849329345733,0.8142285204175609
