Episode,Reward_MA,Loss_MA,Q_Value_MA,Epsilon
1,nan,nan,nan,1.0
2,nan,nan,nan,0.99
3,nan,nan,nan,0.9801
4,nan,nan,nan,0.9702989999999999
5,nan,nan,nan,0.96059601
6,nan,nan,nan,0.9509900498999999
7,nan,nan,nan,0.9414801494009999
8,nan,nan,nan,0.9320653479069899
9,nan,nan,nan,0.92274469442792
10,nan,nan,nan,0.9135172474836407
11,nan,nan,nan,0.9043820750088043
12,nan,nan,nan,0.8953382542587163
13,nan,nan,nan,0.8863848717161291
14,nan,nan,nan,0.8775210229989678
15,nan,nan,nan,0.8687458127689781
16,nan,nan,nan,0.8600583546412883
17,nan,nan,nan,0.8514577710948754
18,nan,nan,nan,0.8429431933839266
19,nan,nan,nan,0.8345137614500874
20,-126.14021781607244,1.55666786423237,2.2629874829034855,0.8261686238355865
21,-131.62160015173183,1.5706301453789049,2.3937165483623555,0.8179069375972307
22,-138.92787066306406,1.56281811245066,2.262338763281914,0.8097278682212583
23,-128.9567962827801,1.567132042448891,2.3817462444015374,0.8016305895390458
24,-127.62893855453378,1.5627013851791725,2.353706985816139,0.7936142836436553
25,-131.01226608569897,1.5732490434177873,2.3471145851782076,0.7856781408072188
26,-136.64748941599885,1.5440382633235672,2.404714205201836,0.7778213593991465
27,-139.73042678468175,1.5524132681277787,2.4659330294196997,0.7700431458051551
28,-145.70014335231366,1.5618529840442772,2.4470169624197506,0.7623427143471035
29,-143.992181482516,1.5578209012597668,2.6014580611917544,0.7547192872036325
30,-142.89930762944874,1.5754740366920639,2.6036118019593126,0.7471720943315961
31,-142.14149852744274,1.5643488273935446,2.595817184124097,0.7397003733882802
32,-132.3508989739767,1.5498205807492091,2.7048813701991135,0.7323033696543974
33,-131.63562945559633,1.5521313317502634,2.675066183731521,0.7249803359578534
34,-123.12218195111132,1.5826036122589324,3.0053335282128106,0.7177305325982748
35,-120.94586511365209,1.6024726333514598,3.2358353781797726,0.7105532272722921
36,-120.14305535919621,1.648299007415489,3.4023398489580066,0.7034476949995692
37,-123.54232086098325,1.6763616113621778,3.3825515179247345,0.6964132180495735
38,-124.10062253382551,1.7145737592082504,3.4110061318030285,0.6894490858690777
39,-121.60542514398576,1.7364117139738613,3.53214478832212,0.682554595010387
40,-117.46928904670388,1.7749782003557804,3.6615041115750415,0.6757290490602831
41,-114.72174976181876,1.7990568475097841,3.7230344159823017,0.6689717585696803
42,-104.33318492732823,1.8360196884121056,3.996630828295258,0.6622820409839835
43,-111.5336070613028,1.8682310581367072,4.051770886527767,0.6556592205741436
44,-110.55138698797894,1.9128524761821624,4.18919011505588,0.6491026283684022
45,-104.1703683417822,1.933077119264614,4.397817767932596,0.6426116020847181
46,-94.79080311409902,1.9579950409580262,4.441520934036885,0.6361854860638709
47,-87.6536906331683,1.984089890567609,4.710761963592959,0.6298236312032323
48,-86.52092778134136,1.9970870737622752,4.839101098523319,0.6235253948912
49,-85.95814124969485,2.01163061164726,4.833129404115435,0.617290140942288
50,-78.25667859430031,2.028471602374994,5.0816895468280014,0.6111172395328651
51,-78.93833633161815,2.059099782240128,5.223329015102742,0.6050060671375365
52,-72.73779835798487,2.097549256612134,5.412247745369406,0.5989560064661611
53,-70.68091477192044,2.1151159486095796,5.602981439707519,0.5929664464014994
54,-84.08418940089557,2.1248617011771644,5.117207183033026,0.5870367819374844
55,-84.34725939255608,2.125800119088233,5.0403595489455055,0.5811664141181095
56,-85.13729613732241,2.1063534050680843,4.877827280551076,0.5753547499769285
57,-74.241470830306,2.1129518892071832,5.144201860572205,0.5696012024771592
58,-72.90583221756373,2.103916636782994,5.470599460402239,0.5639051904523876
59,-68.72481502051798,2.1227724826509955,5.575290848578701,0.5582661385478638
60,-76.35656210963461,2.1145841094452837,5.443488110319525,0.5526834771623851
61,-76.55449371910855,2.1194233706970325,5.631801127770113,0.5471566423907612
62,-76.77870768140228,2.11544034222413,5.755251688530045,0.5416850759668536
63,-71.53732502115264,2.1102286012875107,5.997272777033565,0.536268225207185
64,-77.96268330354911,2.089795297619492,5.931420902811993,0.5309055429551132
65,-76.20661385621318,2.089039165599328,5.99643999646024,0.525596487525562
66,-74.24636722382868,2.092508599121054,6.093251894294675,0.5203405226503064
67,-70.39283598187588,2.0834545937272058,6.164345832263962,0.5151371174238033
68,-66.90656508377829,2.0854803698849826,6.288607456445624,0.5099857462495653
69,-64.8843493340999,2.0883888451162758,6.459892807017348,0.5048858887870696
70,-73.0892085573764,2.0931259714039134,6.601690437328043,0.4998370298991989
71,-72.8030497838261,2.081521995579318,6.536942563403613,0.49483865960020695
72,-73.04975388395846,2.070326243567709,6.576107137843115,0.4898902730042049
73,-73.82506890426161,2.069880836055947,6.777150682133882,0.48499137027416284
74,-65.4237828746471,2.059638006685575,7.12279785738967,0.4801414565714212
75,-61.864225641485646,2.0507731877604956,7.101679972466794,0.475340042005707
76,-58.26351762403954,2.0457975272489195,7.13729193767464,0.47058664158564995
77,-54.094239761732865,2.023680849160061,7.30225921055548,0.4658807751697934
78,-48.941891653376594,2.0117382115271862,7.364655752656702,0.4612219674180955
79,-45.644929603241906,1.999308716801859,7.541201442102357,0.45660974774391455
80,-38.625430715458386,1.989170639214172,7.736450940753386,0.4520436502664754
81,-37.43431632678232,1.9658024201443047,7.637997312422596,0.44752321376381066
82,-35.014635685238666,1.9471277377829606,7.800574423874725,0.44304798162617254
83,-36.84735145031656,1.9184138488665323,7.905007016515044,0.4386175018099108
84,-25.494296302477462,1.9052185342611605,8.386425126438656,0.4342313267918117
85,-23.779740315144284,1.8795163367887848,8.420258449931657,0.4298890135238936
86,-25.15925786054113,1.8701324444093805,8.649843153385257,0.42559012338865465
87,-23.494709900661626,1.8594285845150442,8.775274862216591,0.4213342221547681
88,-21.26109289091869,1.8536163961485799,8.851958576168123,0.41712087993322045
89,-19.783251097893356,1.8379664527216983,8.739276801952371,0.41294967113388825
90,-14.51603416450844,1.8065480236577973,8.546868876353013,0.40882017442254937
91,-11.388527904892637,1.7778841386064153,8.585873745858095,0.4047319726783239
