Episode,Reward_MA,Loss_MA,Q_Value_MA,Epsilon
1,nan,nan,nan,1.0
2,nan,nan,nan,0.995
3,nan,nan,nan,0.990025
4,nan,nan,nan,0.985074875
5,nan,nan,nan,0.9801495006250001
6,nan,nan,nan,0.9752487531218751
7,nan,nan,nan,0.9703725093562657
8,nan,nan,nan,0.9655206468094844
9,nan,nan,nan,0.960693043575437
10,nan,nan,nan,0.9558895783575597
11,nan,nan,nan,0.9511101304657719
12,nan,nan,nan,0.946354579813443
13,nan,nan,nan,0.9416228069143757
14,nan,nan,nan,0.9369146928798039
15,nan,nan,nan,0.9322301194154049
16,nan,nan,nan,0.9275689688183278
17,nan,nan,nan,0.9229311239742362
18,nan,nan,nan,0.918316468354365
19,nan,nan,nan,0.9137248860125932
20,-181.41478000099556,nan,1.8535514046700352,0.9091562615825302
21,-182.3955742576269,1.6913426983144184,1.9300021346489342,0.9046104802746175
22,-183.86691770606478,1.6878735510788032,2.180064836811839,0.9000874278732445
23,-175.81690368175705,1.6750010560044977,2.1972326314241397,0.8955869907338783
24,-166.58508462956814,1.655653049752312,2.4643796541590817,0.8911090557802088
25,-166.1422118300656,1.6345146128499033,2.6129271727377357,0.8866535105013078
26,-169.58498318728033,1.6205158942836824,2.5223784513785845,0.8822202429488013
27,-178.6587449255598,1.6164638062608618,2.409320957037782,0.8778091417340573
28,-169.45709202054726,1.6066092907213798,2.531664218576388,0.8734200960253871
29,-168.52099067733093,1.5917780526373642,2.5958030324728125,0.8690529955452602
30,-167.86513658205834,1.5843912633809396,2.4390175841086585,0.8647077305675338
31,-166.45279694361395,1.5718564678234983,2.841115739234414,0.8603841919146962
32,-173.7567375617876,1.5715768995048878,2.920375947570983,0.8560822709551227
33,-172.03705134861244,1.5549832990861994,2.9318972056107344,0.851801859600347
34,-174.74399049112498,1.554952419048945,2.7741753164121463,0.8475428503023453
35,-163.48508613576672,1.536646503720137,3.369004240111408,0.8433051360508336
36,-141.79041880414962,1.5365424338863358,3.418356152475084,0.8390886103705794
37,-150.43808732077986,1.5562899992596242,3.543893751096248,0.8348931673187264
38,-152.95039497347653,1.5661971316168837,3.547628645575765,0.8307187014821328
39,-157.48837193376795,1.584797949577473,3.491738980266399,0.8265651079747222
40,-160.83983381270104,1.591891334748679,3.4154768780564284,0.8224322824348486
41,-164.0368217094763,1.590761885528798,3.600528280336248,0.8183201210226743
42,-168.17961291396728,1.5946155211763506,3.547374171907014,0.8142285204175609
