Episode,Reward_MA,Loss_MA,Q_Value_MA,Epsilon
1,nan,nan,nan,1.0
2,nan,nan,nan,0.995
3,nan,nan,nan,0.990025
4,nan,nan,nan,0.985074875
5,nan,nan,nan,0.9801495006250001
6,nan,nan,nan,0.9752487531218751
7,nan,nan,nan,0.9703725093562657
8,nan,nan,nan,0.9655206468094844
9,nan,nan,nan,0.960693043575437
10,nan,nan,nan,0.9558895783575597
11,nan,nan,nan,0.9511101304657719
12,nan,nan,nan,0.946354579813443
13,nan,nan,nan,0.9416228069143757
14,nan,nan,nan,0.9369146928798039
15,nan,nan,nan,0.9322301194154049
16,nan,nan,nan,0.9275689688183278
17,nan,nan,nan,0.9229311239742362
18,nan,nan,nan,0.918316468354365
19,nan,nan,nan,0.9137248860125932
20,-168.0099524840733,1.1265694290015489,1.0629172106478706,0.9091562615825302
21,-167.6762943123706,1.1559498081664263,1.164243906411737,0.9046104802746175
22,-169.5878814521797,1.1662319900722191,1.3298702276289,0.9000874278732445
23,-167.2017363252124,1.1492343339895468,1.5812189200262716,0.8955869907338783
24,-165.78978007984907,1.1089603209975685,1.4424006945787826,0.8911090557802088
25,-169.53571613942813,1.1048385049902123,1.274346198299443,0.8866535105013078
26,-161.2150014588554,1.0901377763140383,1.3820957598716501,0.8822202429488013
27,-168.07619222510706,1.0812712073723147,1.0946475404456906,0.8778091417340573
28,-158.96721369847805,1.0635295811886305,1.1698519206832585,0.8734200960253871
29,-155.69117028421152,1.0605118977291785,1.162907671017855,0.8690529955452602
30,-154.7708155957743,1.04964222197797,1.2355792005296886,0.8647077305675338
31,-144.9843694046918,1.0475195484251958,1.4204789780363911,0.8603841919146962
32,-141.2331595595167,1.0508531611017333,1.633558065723895,0.8560822709551227
33,-137.83362689216668,1.0549441292048898,2.0258475269665857,0.851801859600347
34,-141.38300076014644,1.0568882514989315,2.1414094493323352,0.8475428503023453
35,-151.1103918413599,1.0547795405024378,1.765428823576055,0.8433051360508336
36,-151.57429210807206,1.0503562047902117,1.7755378709731275,0.8390886103705794
37,-149.57567914302794,1.0443988422489743,1.8621747675560807,0.8348931673187264
38,-145.9107490901687,1.0383621936462575,1.9444030588973709,0.8307187014821328
39,-158.87733045951518,1.0360692416307633,1.6219566198309296,0.8265651079747222
40,-159.0411571715384,1.0343929907543208,1.6396697751362224,0.8224322824348486
41,-165.75890096661084,1.0310793537853529,1.536371059530057,0.8183201210226743
42,-167.7405646100947,1.0163104199286557,1.4757348327676667,0.8142285204175609
