Episode,Reward_MA,Loss_MA,Q_Value_MA,Epsilon
1,nan,nan,nan,1.0
2,nan,nan,nan,0.995
3,nan,nan,nan,0.990025
4,nan,nan,nan,0.985074875
5,nan,nan,nan,0.9801495006250001
6,nan,nan,nan,0.9752487531218751
7,nan,nan,nan,0.9703725093562657
8,nan,nan,nan,0.9655206468094844
9,nan,nan,nan,0.960693043575437
10,nan,nan,nan,0.9558895783575597
11,nan,nan,nan,0.9511101304657719
12,nan,nan,nan,0.946354579813443
13,nan,nan,nan,0.9416228069143757
14,nan,nan,nan,0.9369146928798039
15,nan,nan,nan,0.9322301194154049
16,nan,nan,nan,0.9275689688183278
17,nan,nan,nan,0.9229311239742362
18,nan,nan,nan,0.918316468354365
19,nan,nan,nan,0.9137248860125932
20,-165.17917310448803,1.1709902643101975,1.5052916404212082,0.9091562615825302
21,-167.8544130352847,1.2357986169455888,1.5108550578724798,0.9046104802746175
22,-170.24997277883585,1.2428693961862414,1.6594258898410437,0.9000874278732445
23,-151.95192510485325,1.246841829822766,1.8853727106295612,0.8955869907338783
24,-153.23502001193725,1.2642421539613307,1.9713877749115454,0.8911090557802088
25,-145.74484425830101,1.2654736390419807,1.4934262880839688,0.8866535105013078
26,-145.78044705575005,1.2758936558900664,1.5409676873094122,0.8822202429488013
27,-148.6010864591077,1.29592888457756,1.4397831380244959,0.8778091417340573
28,-146.88147002196484,1.3087993448317645,1.489464377996714,0.8734200960253871
29,-150.44421552761534,1.3145381996152268,1.5289932241945694,0.8690529955452602
30,-151.19797881895042,1.317328243211732,1.5418836738524875,0.8647077305675338
31,-153.661892420845,1.300068437322314,1.4821638385895854,0.8603841919146962
32,-153.03074928623923,1.3072423578927808,1.5906838668926524,0.8560822709551227
33,-151.90826208078258,1.3051609214997673,1.863173805175658,0.851801859600347
34,-153.211097753579,1.3133439984188333,1.9034163050716166,0.8475428503023453
35,-157.78870496559307,1.3206145941972116,1.7777672284792339,0.8433051360508336
36,-166.70968500307708,1.3303609765738997,2.1878958243722373,0.8390886103705794
37,-169.10914649425467,1.333316828362994,2.1036678842301644,0.8348931673187264
38,-168.95261149190372,1.3320818243363683,2.2213271202352507,0.8307187014821328
39,-169.1927113439977,1.335085342031972,2.3698913708643565,0.8265651079747222
40,-163.8459441499649,1.325404456226152,2.6294300570666467,0.8224322824348486
41,-158.54585079935796,1.2942153456468664,2.918383344535858,0.8183201210226743
42,-164.49287911067225,1.2858552903822127,2.7521154136840935,0.8142285204175609
